instance,agent,run,seed,cost,return,done,route
Random_15_nodes,PointerNet,9,10050,452.0,-452.0,True,"[9, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 9]"
Random_15_nodes,Heuristic,9,10050,207.23048496246338,-207.23048496246338,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,10,10051,502.06603240966797,-502.06603240966797,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,Classic_DP_base,10,10051,502.06603240966797,-502.06603240966797,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,A2C,10,10051,297.0,-297.0,True,"[9, 11, 8, 12, 7, 3, 10, 0, 6, 13, 5, 2, 14, 1, 4, 9]"
Random_15_nodes,PointerNet,10,10051,452.0,-452.0,True,"[9, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 9]"
Random_15_nodes,Heuristic,10,10051,204.8039150238037,-204.8039150238037,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,11,10052,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,Classic_DP_base,11,10052,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,A2C,11,10052,350.6528739929199,-350.6528739929199,True,"[4, 11, 9, 12, 8, 3, 10, 0, 7, 13, 6, 2, 14, 1, 5, 4]"
Random_15_nodes,PointerNet,11,10052,539.7247619628906,-539.7247619628906,True,"[4, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 4]"
Random_15_nodes,Heuristic,11,10052,206.20428657531738,-206.20428657531738,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,12,10053,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,Classic_DP_base,12,10053,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
Random_15_nodes,A2C,12,10053,347.96691131591797,-347.96691131591797,True,"[4, 11, 9, 12, 8, 3, 10, 0, 7, 13, 6, 2, 14, 1, 5, 4]"
Random_15_nodes,PointerNet,12,10053,551.9139709472656,-551.9139709472656,True,"[4, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 4]"
Random_15_nodes,Heuristic,12,10053,209.9746551513672,-209.9746551513672,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,13,10054,557.5388221740723,-557.5388221740723,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,Classic_DP_base,13,10054,557.5388221740723,-557.5388221740723,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,A2C,13,10054,344.5351676940918,-344.5351676940918,True,"[12, 10, 8, 11, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 12]"
Random_15_nodes,PointerNet,13,10054,610.0,-610.0,True,"[12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 12]"
Random_15_nodes,Heuristic,13,10054,208.5139503479004,-208.5139503479004,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
